sector,filename
BasicIndustries,gra_20200508_10q_THISQ.xml
BasicIndustries,fmc_20190731_10q_1.xml
BasicIndustries,vvv_20190502_10q_1.xml
BasicIndustries,cmp_20200506_10q_THISQ.xml
BasicIndustries,mas_20200429_10q_THISQ.xml
BasicIndustries,kwr_20190801_10q_1.xml
BasicIndustries,mas_20191030_10q_0.xml
BasicIndustries,ati_20200505_10q_THISQ.xml
BasicIndustries,mlm_20181107_10q_1.xml
BasicIndustries,mdu_20200508_10q_THISQ.xml
BasicIndustries,scco_20191028_10q_0.xml
BasicIndustries,ce_20191022_10q_0.xml
BasicIndustries,cmp_20190807_10q_1.xml
BasicIndustries,aa_20190731_10q_1.xml
BasicIndustries,mos_20200505_10q_THISQ.xml
BasicIndustries,oec_20200507_10q_THISQ.xml
BasicIndustries,scco_20190726_10q_1.xml
BasicIndustries,cmc_20190627_10q_0.xml
BasicIndustries,vmc_20190729_10q_0.xml
BasicIndustries,ppg_20200428_10q_THISQ.xml
BasicIndustries,pg_20200123_10q_1.xml
BasicIndustries,axta_20200506_10q_THISQ.xml
BasicIndustries,csl_20191024_10q_0.xml
BasicIndustries,slca_20200501_10q_THISQ.xml
BasicIndustries,wlkp_20200506_10q_THISQ.xml
BasicIndustries,foe_20190730_10q_1.xml
BasicIndustries,csl_20200423_10q_THISQ.xml
BasicIndustries,len_20190703_10q_0.xml
BasicIndustries,ngvt_20190731_10q_1.xml
BasicIndustries,esi_20190501_10q_0.xml
BasicIndustries,rog_20190801_10q_0.xml
BasicIndustries,dy_20191127_10q_0.xml
BasicIndustries,cva_20200508_10q_THISQ.xml
BasicIndustries,rfp_20191112_10q_0.xml
BasicIndustries,emn_20190806_10q_1.xml
BasicIndustries,iff_20200511_10q_THISQ.xml
BasicIndustries,see_20190802_10q_0.xml
BasicIndustries,cva_20190426_10q_0.xml
PublicUtilities,dtq_20200428_10q_1.xml
PublicUtilities,oge_20190808_10q_0.xml
PublicUtilities,por_20200424_10q_1.xml
PublicUtilities,fn_20200505_10q_THISQ.xml
PublicUtilities,enbl_20200506_10q_1.xml
PublicUtilities,smlp_20190809_10q_0.xml
PublicUtilities,sojb_20191030_10q_0.xml
PublicUtilities,gpja_20190731_10q_0.xml
PublicUtilities,eno_20190806_10q_0.xml
PublicUtilities,uza_20190801_10q_1.xml
PublicUtilities,eae_20191105_10q_0.xml
PublicUtilities,nrg_20191107_10q_0.xml
PublicUtilities,wec_20191107_10q_0.xml
PublicUtilities,elj_20190806_10q_THISQ.xml
PublicUtilities,usac_20190806_10q_1.xml
PublicUtilities,ora_20200511_10q_0.xml
PublicUtilities,swx_20200507_10q_0.xml
PublicUtilities,nwe_20200423_10q_1.xml
PublicUtilities,oge_20200507_10q_1.xml
PublicUtilities,pnm_20190802_10q_0.xml
PublicUtilities,elc_20191105_10q_0.xml
PublicUtilities,nwn_20191105_10q_0.xml
PublicUtilities,sr_20190730_10q_0.xml
PublicUtilities,ppx_20190806_10q_1.xml
PublicUtilities,es_20200508_10q_1.xml
PublicUtilities,avya_20200511_10q_1.xml
PublicUtilities,elj_20200511_10q_THISQ.xml
PublicUtilities,nwe_20190724_10q_0.xml
PublicUtilities,et_20190808_10q_1.xml
PublicUtilities,cmsc_20190725_10q_0.xml
PublicUtilities,bkh_20190806_10q_1.xml
PublicUtilities,evrg_20191106_10q_0.xml
PublicUtilities,emp_20191105_10q_THISQ.xml
PublicUtilities,aep_20191024_10q_0.xml
PublicUtilities,cmsd_20191024_10q_0.xml
PublicUtilities,ceqp_20200507_10q_0.xml
PublicUtilities,fe_20191104_10q_0.xml
PublicUtilities,dcp_20191107_10q_0.xml
PublicUtilities,cty_20200508_10q_1.xml
PublicUtilities,aroc_20190430_10q_0.xml
PublicUtilities,tds_20191031_10q_0.xml
PublicUtilities,nee_20200423_10q_1.xml
PublicUtilities,cnxm_20191029_10q_0.xml
PublicUtilities,wcn_20191029_10q_0.xml
PublicUtilities,sojd_20191030_10q_THISQ.xml
PublicUtilities,trgp_20191107_10q_0.xml
PublicUtilities,dcp_20190807_10q_0.xml
PublicUtilities,sjw_20200511_10q_1.xml
PublicUtilities,aee_20190802_10q_0.xml
PublicUtilities,cwt_20190801_10q_0.xml
PublicUtilities,dukh_20191108_10q_0.xml
PublicUtilities,awr_20191104_10q_0.xml
PublicUtilities,.DS_Store
